"s01_AS","s025_AS","s05_AS","s075_AS","a01_AS","a05_AS","a1_AS","a25_AS"
0,0,0.82,0,1.57111111111111,1.18666666666667,0.763333333333333,0.511111111111111
0,0,0.814444444444444,0,1.58666666666667,1.22888888888889,0.783333333333333,0.484444444444444
0,0,0.784444444444444,0,1.55111111111111,1.29444444444444,0.79,0.484444444444444
0,0,0.694444444444444,0,1.56777777777778,1.24888888888889,0.793333333333333,0.458888888888889
0,0,0.697777777777778,0,1.59666666666667,1.23777777777778,0.757777777777778,0.437777777777778
0,0,0.697777777777778,0,1.62111111111111,1.21111111111111,0.787777777777778,0.42
0,0,0.707777777777778,0,1.55222222222222,1.15444444444444,0.732222222222222,0.425555555555556
0,0,0.644444444444444,0,1.58444444444444,1.20444444444444,0.721111111111111,0.405555555555556
0,0,0.647777777777778,0,1.51666666666667,1.19777777777778,0.708888888888889,0.408888888888889
0,0,0.614444444444444,0,1.57666666666667,1.30333333333333,0.717777777777778,0.42
0,0,0.597777777777778,0,1.55,1.24555555555556,0.666666666666667,0.412222222222222
0,0,0.586666666666667,0,1.52444444444444,1.28333333333333,0.648888888888889,0.383333333333333
0,0,0.545555555555556,0,1.56222222222222,1.24111111111111,0.67,0.374444444444444
0,0,0.57,0,1.51111111111111,1.32,0.662222222222222,0.35
0,0,0.631111111111111,0,1.52333333333333,1.21111111111111,0.635555555555556,0.356666666666667
0,0,0.62,0,1.51444444444444,1.30444444444444,0.64,0.351111111111111
0,0,0.6,0,1.54666666666667,1.16888888888889,0.538888888888889,0.35
0,0,0.622222222222222,0,1.43222222222222,1.23222222222222,0.522222222222222,0.334444444444444
0,0,0.54,0,1.52111111111111,1.12888888888889,0.528888888888889,0.34
0,0,0.554444444444444,0,1.59555555555556,1.19888888888889,0.526666666666667,0.328888888888889
0,0,0.588888888888889,0,1.52444444444444,1.30666666666667,0.501111111111111,0.3
0,0,0.6,0,1.59555555555556,1.22333333333333,0.468888888888889,0.263333333333333
0,0,0.544444444444444,0,1.56333333333333,1.21,0.44,0.267777777777778
0,0,0.561111111111111,0,1.54555555555556,1.2,0.453333333333333,0.265555555555556
0,0,0.582222222222222,0,1.54555555555556,1.16555555555556,0.428888888888889,0.26
0,0,0.528888888888889,0,1.57222222222222,1.14555555555556,0.456666666666667,0.24
0,0,0.581111111111111,0,1.54888888888889,1.27111111111111,0.49,0.243333333333333
0,0,0.597777777777778,0,1.52,1.23666666666667,0.451111111111111,0.24
0,0,0.444444444444444,0,1.57666666666667,1.31444444444444,0.391111111111111,0.251111111111111
0,0,0.507777777777778,0,1.53777777777778,1.20888888888889,0.402222222222222,0.237777777777778
