"N64_AS","N100_AS","N225_AS","N400_AS","N900_AS","N64_Bi","N100_Bi","N225_Bi","N400_Bi","N900_Bi"
0.32125,0.4984,0.768711111111111,0.8512,1.08088888888889,0.21375,0.4984,0.823822222222222,1.1244,1.5728
0.29875,0.4728,0.732444444444444,0.8616,1.07502222222222,0.20625,0.4728,0.804977777777778,1.0716,1.53128888888889
0.235,0.4808,0.7392,0.8486,1.04826666666667,0.185,0.4416,0.789688888888889,1.05,1.48586666666667
0.2575,0.4896,0.733155555555556,0.8622,1.05013333333333,0.17625,0.464,0.743822222222222,1.0236,1.44684444444444
0.16625,0.4552,0.688711111111111,0.8578,1.03777777777778,0.16,0.4144,0.702222222222222,0.9968,1.4104
0.16875,0.4144,0.682666666666667,0.8378,1.02168888888889,0.16625,0.4128,0.730311111111111,0.9652,1.38302222222222
0.1925,0.3856,0.676977777777778,0.8422,1.00106666666667,0.145,0.3808,0.686222222222222,0.9572,1.33902222222222
0.1875,0.4048,0.683733333333333,0.814,0.983466666666667,0.13875,0.3448,0.672711111111111,0.9058,1.32391111111111
0.1275,0.3536,0.692977777777778,0.8072,0.965777777777778,0.115,0.3216,0.638222222222222,0.8752,1.27822222222222
0.11,0.3528,0.644266666666667,0.7624,0.968622222222222,0.0975,0.2968,0.613688888888889,0.8552,1.26462222222222
0.1175,0.3128,0.625777777777778,0.7644,0.967111111111111,0.0625,0.2704,0.605866666666667,0.8162,1.21537777777778
0.085,0.3176,0.609066666666667,0.7428,0.949422222222222,0.0475,0.268,0.616533333333333,0.805,1.19786666666667
0.06375,0.2208,0.564622222222222,0.7472,0.917955555555556,0.04,0.2528,0.6144,0.772,1.14942222222222
0.025,0.212,0.566044444444444,0.7356,0.912355555555556,0.0125,0.1968,0.564622222222222,0.747,1.1224
0.0275,0.196,0.536888888888889,0.7286,0.893333333333333,0.01375,0.2008,0.528711111111111,0.6892,1.10266666666667
0.02,0.2128,0.536533333333333,0.701,0.887377777777778,0.01,0.1784,0.529777777777778,0.668,1.07288888888889
0,0.152,0.503466666666667,0.6896,0.881066666666667,0.0025,0.1592,0.499911111111111,0.6524,1.04284444444444
0,0.1496,0.514844444444444,0.659,0.865955555555556,0,0.1376,0.464711111111111,0.6154,1.00293333333333
0,0.1472,0.495644444444444,0.6462,0.841688888888889,0,0.1432,0.431288888888889,0.5928,0.986488888888889
0,0.1552,0.4928,0.6592,0.838311111111111,0,0.1456,0.408177777777778,0.5862,0.942222222222222
0,0.112,0.484977777777778,0.6738,0.827644444444444,0,0.1312,0.385422222222222,0.5656,0.918311111111111
0,0.1392,0.508444444444444,0.67,0.828,0,0.0904,0.398577777777778,0.5398,0.881777777777778
0,0.0896,0.480355555555556,0.6786,0.840177777777778,0,0.0696,0.3744,0.5266,0.863555555555556
0,0.0864,0.494577777777778,0.6582,0.810844444444444,0,0.0704,0.351288888888889,0.5118,0.847377777777778
0,0.0352,0.435555555555556,0.6308,0.809777777777778,0,0.0888,0.331377777777778,0.4856,0.809155555555556
