"p001_AS","p005_AS","p01_AS","p05_AS","p1_AS","p001_Bi","p005_Bi","p01_Bi","p05_Bi","p1_Bi"
1.71235555555556,1.70666666666667,1.71804444444444,1.68426666666667,1.71022222222222,2.47004444444444,2.44302222222222,2.4704,2.4576,2.43093333333333
1.70737777777778,1.70346666666667,1.70631111111111,1.67004444444444,1.70097777777778,2.46826666666667,2.44124444444444,2.46542222222222,2.45262222222222,2.42346666666667
1.69848888888889,1.6928,1.69066666666667,1.66008888888889,1.68817777777778,2.46364444444444,2.43626666666667,2.46364444444444,2.44586666666667,2.41955555555556
1.68924444444444,1.68391111111111,1.67608888888889,1.65297777777778,1.68,2.46115555555556,2.4288,2.46648888888889,2.43555555555556,2.41848888888889
1.68284444444444,1.67715555555556,1.66577777777778,1.64515555555556,1.67111111111111,2.46151111111111,2.4256,2.46364444444444,2.42524444444444,2.41386666666667
1.66257777777778,1.66648888888889,1.65937777777778,1.62808888888889,1.66044444444444,2.4608,2.42702222222222,2.46328888888889,2.42417777777778,2.40782222222222
1.64586666666667,1.65937777777778,1.63804444444444,1.61315555555556,1.64551111111111,2.45013333333333,2.41635555555556,2.46186666666667,2.42382222222222,2.4064
1.63768888888889,1.64871111111111,1.62631111111111,1.59715555555556,1.63911111111111,2.44053333333333,2.41457777777778,2.46151111111111,2.42311111111111,2.39857777777778
1.62026666666667,1.6384,1.61351111111111,1.58684444444444,1.63093333333333,2.43377777777778,2.41706666666667,2.44622222222222,2.41884444444444,2.38364444444444
1.6032,1.62951111111111,1.6064,1.56657777777778,1.61991111111111,2.43555555555556,2.41422222222222,2.432,2.40995555555556,2.37902222222222
1.59324444444444,1.62133333333333,1.59893333333333,1.55662222222222,1.61671111111111,2.43697777777778,2.40675555555556,2.42488888888889,2.39964444444444,2.36622222222222
1.59182222222222,1.61742222222222,1.58791111111111,1.54844444444444,1.60568888888889,2.42844444444444,2.39857777777778,2.42204444444444,2.39644444444444,2.35768888888889
1.57937777777778,1.6064,1.57724444444444,1.53457777777778,1.58862222222222,2.41742222222222,2.38542222222222,2.41351111111111,2.39502222222222,2.35555555555556
1.57013333333333,1.59466666666667,1.56053333333333,1.52035555555556,1.56835555555556,2.40248888888889,2.38257777777778,2.4064,2.37262222222222,2.34168888888889
1.54524444444444,1.57617777777778,1.5456,1.50862222222222,1.55448888888889,2.3904,2.36871111111111,2.40391111111111,2.34986666666667,2.32817777777778
1.53208888888889,1.56017777777778,1.53351111111111,1.49404444444444,1.53991111111111,2.37226666666667,2.35555555555556,2.38862222222222,2.34595555555556,2.32568888888889
1.52355555555556,1.54844444444444,1.52,1.47448888888889,1.52568888888889,2.35768888888889,2.34204444444444,2.36871111111111,2.33493333333333,2.31893333333333
1.51288888888889,1.53493333333333,1.50328888888889,1.46204444444444,1.51395555555556,2.34986666666667,2.32995555555556,2.352,2.32106666666667,2.30613333333333
1.504,1.51217777777778,1.49937777777778,1.4496,1.49404444444444,2.33564444444444,2.31324444444444,2.33244444444444,2.29475555555556,2.28088888888889
1.48551111111111,1.49546666666667,1.47768888888889,1.43288888888889,1.46986666666667,2.3232,2.28835555555556,2.30933333333333,2.28053333333333,2.25671111111111
1.4688,1.488,1.47235555555556,1.42328888888889,1.4528,2.30613333333333,2.25386666666667,2.29795555555556,2.26595555555556,2.23146666666667
1.44853333333333,1.46737777777778,1.45635555555556,1.40871111111111,1.42826666666667,2.28266666666667,2.23502222222222,2.28088888888889,2.24355555555556,2.22577777777778
1.42186666666667,1.44782222222222,1.43288888888889,1.39271111111111,1.41262222222222,2.27057777777778,2.22328888888889,2.25635555555556,2.21297777777778,2.19982222222222
1.41226666666667,1.42364444444444,1.42186666666667,1.37991111111111,1.39911111111111,2.23893333333333,2.20373333333333,2.21653333333333,2.20088888888889,2.16782222222222
1.39768888888889,1.41226666666667,1.3984,1.36568888888889,1.37991111111111,2.22471111111111,2.18773333333333,2.20231111111111,2.18631111111111,2.14933333333333
1.37493333333333,1.3952,1.38702222222222,1.34542222222222,1.35928888888889,2.20195555555556,2.15893333333333,2.17066666666667,2.16782222222222,2.1344
1.35502222222222,1.37386666666667,1.37102222222222,1.32586666666667,1.35111111111111,2.17813333333333,2.14577777777778,2.15253333333333,2.13368888888889,2.11022222222222
1.33653333333333,1.35964444444444,1.35431111111111,1.30062222222222,1.34151111111111,2.13475555555556,2.1184,2.1088,2.12231111111111,2.09315555555556
1.328,1.33582222222222,1.33653333333333,1.28533333333333,1.33902222222222,2.10524444444444,2.08924444444444,2.07146666666667,2.09884444444444,2.05653333333333
1.31591111111111,1.3152,1.31804444444444,1.27537777777778,1.31662222222222,2.09031111111111,2.06364444444444,2.03093333333333,2.09137777777778,2.01777777777778
1.29742222222222,1.30453333333333,1.2896,1.26186666666667,1.3056,2.0576,2.01884444444444,2.01102222222222,2.07111111111111,1.97688888888889
1.2832,1.28426666666667,1.27324444444444,1.24337777777778,1.28497777777778,2.01706666666667,1.98577777777778,1.98435555555556,2.03271111111111,1.96408888888889
1.26791111111111,1.27182222222222,1.24444444444444,1.2192,1.28924444444444,1.98542222222222,1.94026666666667,1.96124444444444,2.01671111111111,1.936
1.23448888888889,1.25973333333333,1.22844444444444,1.216,1.2768,1.95448888888889,1.92817777777778,1.92248888888889,1.99004444444444,1.91537777777778
1.22666666666667,1.24693333333333,1.2096,1.20462222222222,1.27217777777778,1.91253333333333,1.90008888888889,1.89902222222222,1.96835555555556,1.88977777777778
